NOME_ORIGEM,NOME_DEST,flowOD,flowDO,Dist,COD_ORIGEM,COD_DESTINO
Passeio Publico,4550705,80,0,1,4550707,4550705
Passeio Publico,4550706,147,0,1,4550707,4550706
Passeio Publico,4550707,1288,0,1,4550707,4550707
Passeio Publico,4550708,128,0,1,4550707,4550708
Passeio Publico,4550709,134,0,1,4550707,4550709
Passeio Publico,4550710,53,0,1,4550707,4550710
Passeio Publico,4550711,51,0,1,4550707,4550711
Passeio Publico,4550602,7,0,1,4550707,4550602
Passeio Publico,4550603,18,0,1,4550707,4550603
Passeio Publico,4550604,15,0,1,4550707,4550604
Passeio Publico,4550605,36,0,1,4550707,4550605
Passeio Publico,4552802,22,0,1,4550707,4552802
Passeio Publico,4552803,16,0,1,4550707,4552803
Passeio Publico,4550902,12,0,1,4550707,4550902
Av. Chile,4550801,7,0,1,4550708,4550801
Av. Chile,4550802,16,0,1,4550708,4550802
Av. Chile,4550803,24,0,1,4550708,4550803
Av. Chile,4550804,25,0,1,4550708,4550804
Av. Chile,4550805,14,0,1,4550708,4550805
Av. Chile,4550806,9,0,1,4550708,4550806
Av. Chile,4552601,180,0,1,4550708,4552601
Av. Chile,4550701,122,0,1,4550708,4550701
Av. Chile,4550702,42,0,1,4550708,4550702
Av. Chile,4550703,25,0,1,4550708,4550703
Av. Chile,4550704,91,0,1,4550708,4550704
Av. Chile,4550705,24,0,1,4550708,4550705
Av. Chile,4550706,58,0,1,4550708,4550706
Av. Chile,4550707,46,0,1,4550708,4550707
Av. Chile,4550708,587,0,1,4550708,4550708
Av. Chile,4550709,63,0,1,4550708,4550709
Av. Chile,4550710,22,0,1,4550708,4550710
Av. Chile,4550711,20,0,1,4550708,4550711
Av. Chile,4550602,4,0,1,4550708,4550602
Av. Chile,4550603,9,0,1,4550708,4550603
Av. Chile,4550604,5,0,1,4550708,4550604
Av. Chile,4550605,11,0,1,4550708,4550605
Av. Chile,4552802,11,0,1,4550708,4552802
Av. Chile,4552803,6,0,1,4550708,4552803
Av. Chile,4550902,4,0,1,4550708,4550902
Cruz Vermelha,4550801,171,0,1,4550709,4550801
Cruz Vermelha,4550802,335,0,1,4550709,4550802
Cruz Vermelha,4550803,388,0,1,4550709,4550803
Cruz Vermelha,4550804,560,0,1,4550709,4550804
Cruz Vermelha,4550805,280,0,1,4550709,4550805
Cruz Vermelha,4550806,275,0,1,4550709,4550806
Cruz Vermelha,4552601,3387,0,1,4550709,4552601
Cruz Vermelha,4550701,2065,0,1,4550709,4550701
Cruz Vermelha,4550702,1107,0,1,4550709,4550702
Cruz Vermelha,4550703,640,0,1,4550709,4550703
Cruz Vermelha,4550704,1806,0,1,4550709,4550704
Cruz Vermelha,4550705,620,0,1,4550709,4550705
Cruz Vermelha,4550706,1266,0,1,4550709,4550706
Cruz Vermelha,4550707,714,0,1,4550709,4550707
Cruz Vermelha,4550708,1251,0,1,4550709,4550708
Cruz Vermelha,4550709,12321,0,1,4550709,4550709
Cruz Vermelha,4550710,507,0,1,4550709,4550710
Cruz Vermelha,4550711,438,0,1,4550709,4550711
Cruz Vermelha,4550602,70,0,1,4550709,4550602
Cruz Vermelha,4550603,169,0,1,4550709,4550603
Cruz Vermelha,4550604,123,0,1,4550709,4550604
Cruz Vermelha,4550605,300,0,1,4550709,4550605
Cruz Vermelha,4552802,241,0,1,4550709,4552802
Cruz Vermelha,4552803,162,0,1,4550709,4552803
Cruz Vermelha,4550902,92,0,1,4550709,4550902
Praca da Republica,4550801,18,0,1,4550710,4550801
Praca da Republica,4550802,42,0,1,4550710,4550802
Praca da Republica,4550803,42,0,1,4550710,4550803
Praca da Republica,4550804,98,0,1,4550710,4550804
Praca da Republica,4550805,62,0,1,4550710,4550805
Praca da Republica,4550806,37,0,1,4550710,4550806
Praca da Republica,4552601,578,0,1,4550710,4552601
Praca da Republica,4550701,267,0,1,4550710,4550701
Praca da Republica,4550702,169,0,1,4550710,4550702
Praca da Republica,4550703,83,0,1,4550710,4550703
Praca da Republica,4550704,261,0,1,4550710,4550704
Praca da Republica,4550705,88,0,1,4550710,4550705
Praca da Republica,4550706,186,0,1,4550710,4550706
Praca da Republica,4550707,112,0,1,4550710,4550707
Praca da Republica,4550708,195,0,1,4550710,4550708
Praca da Republica,4550709,200,0,1,4550710,4550709
Praca da Republica,4550710,1736,0,1,4550710,4550710
Praca da Republica,4550711,69,0,1,4550710,4550711
Praca da Republica,4550602,8,0,1,4550710,4550602
Praca da Republica,4550603,34,0,1,4550710,4550603
Praca da Republica,4550604,19,0,1,4550710,4550604
Praca da Republica,4550605,65,0,1,4550710,4550605
Praca da Republica,4552802,37,0,1,4550710,4552802
Praca da Republica,4552803,19,0,1,4550710,4552803
Praca da Republica,4550902,9,0,1,4550710,4550902
Central do Brasil,4550801,1,0,1,4550711,4550801
Central do Brasil,4550802,3,0,1,4550711,4550802
Central do Brasil,4550803,7,0,1,4550711,4550803
Central do Brasil,4550804,13,0,1,4550711,4550804
Central do Brasil,4550805,5,0,1,4550711,4550805
Central do Brasil,4550806,5,0,1,4550711,4550806
Central do Brasil,4552601,68,0,1,4550711,4552601
Central do Brasil,4550701,38,0,1,4550711,4550701
Central do Brasil,4550702,23,0,1,4550711,4550702
Central do Brasil,4550703,16,0,1,4550711,4550703
Central do Brasil,4550704,28,0,1,4550711,4550704
Central do Brasil,4550705,11,0,1,4550711,4550705
Central do Brasil,4550706,34,0,1,4550711,4550706
Central do Brasil,4550707,11,0,1,4550711,4550707
Central do Brasil,4550708,23,0,1,4550711,4550708
Central do Brasil,4550709,23,0,1,4550711,4550709
Central do Brasil,4550710,6,0,1,4550711,4550710
Central do Brasil,4550711,236,0,1,4550711,4550711
Central do Brasil,4550602,2,0,1,4550711,4550602
Central do Brasil,4550603,5,0,1,4550711,4550603
Central do Brasil,4550604,3,0,1,4550711,4550604
Central do Brasil,4550605,7,0,1,4550711,4550605
Central do Brasil,4552802,5,0,1,4550711,4552802
Central do Brasil,4552803,3,0,1,4550711,4552803
Central do Brasil,4550902,2,0,1,4550711,4550902
Sambodromo,4550801,1490,0,1,4550801,4550801
Sambodromo,4550802,51,0,1,4550801,4550802
Sambodromo,4550803,60,0,1,4550801,4550803
