lat,long,NOME_ZONAS,POP96,ZONA_TRAFE,DOMIC96,RA,AREA,POP0,POP2,POP10,POP15,POP20,POP40
672497.89,7472447.99,Iraja 1,8089,4551904,2371,14,745684.83,0.03,0.11,0.09,0.07,0.31,0.41
671450.72,7472044.7,Iraja 2,21855,4551905,6517,14,1495816.82,0.03,0.11,0.09,0.07,0.31,0.41
671696.18,7472986.31,Praca Cisplatina,9800,4551906,2970,14,648380.27,0.03,0.11,0.09,0.07,0.31,0.4
672246.27,7473724.26,Padre Roser,24173,4551907,7250,14,1354880.8,0.03,0.11,0.09,0.07,0.31,0.4
672927.07,7474278.71,Vista Alegre,8816,4551908,2697,14,540874.43,0.02,0.09,0.08,0.06,0.29,0.45
671599.79,7474662.71,CEASA,29586,4551909,8912,14,2027190.42,0.03,0.11,0.09,0.07,0.31,0.4
671654.05,7475513.69,Iraja - Dutra,5629,4551910,1650,14,1241762.19,0.03,0.11,0.09,0.07,0.31,0.41
670962.31,7473584.66,Colegio 1,18270,4551911,4450,14,1260727.41,0.03,0.14,0.11,0.08,0.32,0.32
670452.15,7472920.66,Colegio 2,11647,4551912,3471,14,983350.39,0.03,0.14,0.11,0.08,0.32,0.32
667270.95,7471690.3,Marechal Hermes 1,29216,4552001,8445,15,2378885.64,0.03,0.12,0.1,0.07,0.31,0.37
667008.16,7470229.03,Marechal Hermes 2,17623,4552002,5186,15,1465231.55,0.03,0.12,0.1,0.07,0.31,0.37
668033.44,7469828.89,Bento Ribeiro 1,28031,4552003,8325,15,1894573.61,0.03,0.11,0.09,0.07,0.31,0.4
668441.35,7470958.39,Bento Ribeiro 2,16822,4552004,5027,15,1164823.25,0.03,0.11,0.09,0.07,0.31,0.4
668479.6,7471800.53,Honorio Gurgel 1,6854,4552005,1981,15,504455.58,0.03,0.13,0.1,0.07,0.32,0.35
668722.56,7472827.42,Honorio Gurgel 2,15205,4552006,4375,15,849039.06,0.03,0.13,0.1,0.07,0.32,0.35
669461.5,7472562.76,Rocha Miranda 1,20219,4552007,6095,15,1433503.09,0.03,0.12,0.09,0.07,0.31,0.37
669859.04,7471723.13,Rocha Miranda 2,20366,4552008,6007,15,1448392.61,0.03,0.12,0.09,0.07,0.31,0.37
670093.07,7470823.61,Turiassu,15858,4552009,4687,15,1234176.09,0.03,0.13,0.1,0.07,0.32,0.35
669415.26,7470330.69,Osvaldo Cruz 1,13152,4552010,3938,15,760622.05,0.03,0.11,0.09,0.07,0.31,0.4
669085.55,7469413.67,Osvaldo Cruz 2,22411,4552011,6752,15,1306711.44,0.03,0.11,0.09,0.07,0.31,0.4
670192.78,7469051.85,Madureira,20369,4552012,6469,15,1629205.02,0.03,0.11,0.09,0.07,0.3,0.4
671016.73,7470088.63,Magno,29473,4552013,8697,15,2130759.26,0.03,0.12,0.09,0.07,0.31,0.38
671493.01,7471180.68,Vaz Lobo,14127,4552014,4298,15,1106760.28,0.03,0.13,0.09,0.07,0.3,0.38
672684.18,7469817.43,Cavalcanti,14033,4552015,4162,15,1918791.55,0.03,0.13,0.09,0.07,0.32,0.36
671801.58,7469410.4,Engenheiro Leal,6031,4552016,1708,15,711434.24,0.03,0.14,0.1,0.08,0.31,0.34
672052.41,7468720.47,Cascadura 1,15046,4552017,4707,15,989209.83,0.03,0.12,0.09,0.07,0.3,0.4
672711.7,7468236.17,Quintino 1,16506,4552018,5219,15,930011.8,0.03,0.11,0.09,0.07,0.31,0.4
671656.36,7466764.19,Quintino 2,14263,4552019,4462,15,3561220.47,0.03,0.11,0.09,0.07,0.31,0.4
