"V1","V2","V3"
"70",4552215,664300.666113971,7470049.37492414
"71",4553209,675009.058109238,7470780.298725
"72",4552404,639438.654045208,7468958.05418817
"73",4552014,671493.010042568,7471180.67967244
"74",4553501,677211.656489358,7470805.52559005
"75",4552316,644137.559501529,7470329.03189471
"76",4552210,659114.135001867,7470394.75139766
"77",4552004,668441.350251064,7470958.38511211
"78",4552205,656831.484280502,7470188.9946945
"79",4552009,670093.067991448,7470823.61214742
"80",4553207,676222.681491857,7470303.87893406
"81",4551504,679367.530329633,7470456.03671495
"82",4553211,673813.249262573,7470190.7145421
"83",4552207,658162.644340678,7470383.53792293
"84",4552002,667008.161255411,7470229.02723202
"85",4552313,651321.397153183,7470361.28755405
"86",4552013,671016.729930766,7470088.6333878
"87",4552010,669415.258071853,7470330.68950343
"88",4552311,649060.95466702,7468846.06288439
"89",4551503,678739.894761881,7469917.33298604
"90",4552216,662757.836664931,7469709.70219677
"91",4552306,646879.748840424,7468538.52942696
"92",4552003,668033.443883372,7469828.89056349
"93",4552202,654435.244386213,7470005.94483715
"94",4553206,677130.986091273,7469723.43599031
"95",4552015,672684.177468267,7469817.42737203
"96",4552214,665871.543993653,7469035.24660797
"97",4553208,675821.703983591,7469797.99875648
"98",4552011,669085.54892919,7469413.67306375
"99",4553210,675039.052566525,7469782.22359434
"100",4553202,678339.893974676,7469394.59798074
"101",4552312,652328.496202227,7468719.6152745
"102",4552212,660697.244823112,7467217.05882476
"103",4552012,670192.784747699,7469051.85291228
"104",4552016,671801.58181501,7469410.39715602
"105",4551727,674859.74455619,7468856.07981572
"106",4553205,675983.67903573,7469020.17771714
"107",4552305,643691.100632339,7468558.49185325
"108",4553203,677197.725491462,7468861.29317312
"109",4552209,658970.587338437,7468105.25374959
"110",4552208,657970.163150437,7467928.9881928
"111",4552204,656735.729409279,7467595.91571976
"112",4552203,654989.967677769,7466606.5361141
"113",4551728,673671.145713374,7468375.78993958
"114",4551502,679232.958391695,7468684.2646372
"115",4552017,672052.405915808,7468720.46833324
"116",4552125,667514.80292492,7467962.53726209
"117",4553201,678073.260710437,7468405.92176399
"118",4552018,672711.700776196,7468236.16770011
"119",4553204,677436.953023591,7468487.35081889
"120",4552021,669549.136116874,7468253.17096123
"121",4552020,670958.487786983,7467958.84437265
"122",4552213,664758.241033713,7467141.2288917
"123",4552310,650633.430624048,7467394.28125939
"124",4551726,674467.094192288,7468096.09803672
"125",4552302,642364.426101484,7466989.28272611
"126",4553401,678635.039345504,7467998.10606221
"127",4551713,676370.795225881,7467932.95879668
"128",4552127,669615.867042229,7467135.08506743
"129",4551720,675237.68807249,7467555.05544814
"130",4551706,679052.974693794,7467527.27617685
"131",4551711,677525.950449137,7467669.74164296
"132",4551203,681992.276326658,7467517.08287688
"133",4552304,644467.407500634,7466674.40826483
"134",4552019,671656.360760252,7466764.19334312
"135",4551211,680445.23102579,7467434.03131058
"136",4553401,679307.508817412,7467785.72516291
"137",4551719,676001.232151004,7467314.29531092
"138",4553401,679129.926522312,7467766.81762388
"139",4551729,672815.47457449,7466565.42122282
"140",4551725,674193.578214857,7467435.9821169
"141",4551712,677209.108951342,7467174.38028129
"142",4551210,680858.315448163,7466966.55577613
"143",4551204,682780.654070244,7467221.77125189
"144",4551209,681422.018295332,7466916.07573206
"145",4552403,640098.705834993,7464836.08209261
"146",4552126,668514.833362021,7466287.10231772
"147",4553401,679160.055117443,7467511.04296544
"148",4551702,679634.747396517,7466794.45989274
"149",4551714,676820.143999313,7466671.60285071
"150",4551710,677774.522435001,7466619.81615243
"151",4550604,685478.530181567,7466968.64758858
"152",4550603,684245.138163926,7466551.7510081
"153",4550703,687227.352309469,7466703.56760206
