Source,Dest,flowSD,flowDS,Distance,geoSource,geoDest
3201506,5103403,81,86,0,COLATINA,CUIABA
3201506,3127701,12615,14351,0,COLATINA,GOV VALADARES
3201506,2914802,2553,2401,0,COLATINA,ITABUNA
3201506,1100205,5248,7427,0,COLATINA,PORTO VELHO
3201506,3549904,310,213,0,COLATINA,SAO JOSE DOS CAMPOS
3201506,2931350,679,728,0,COLATINA,TEIXEIRA DE FREITAS
3201506,3170206,41,45,0,COLATINA,UBERLANDIA
2304202,2604106,11,22,0,CRATO,CARUARU
2304202,3127701,264,137,0,CRATO,GOV VALADARES
2304202,2507507,684,742,0,CRATO,JOAO PESSOA
2304202,2918407,981,897,0,CRATO,JUAZEIRO
2304202,2408003,7,10,0,CRATO,MOSSORO
2304202,2408102,982,1148,0,CRATO,NATAL
2304202,2611101,1055,1012,0,CRATO,PETROLINA
2304202,2111300,968,916,0,CRATO,SAO LUIS
4204608,3509502,80,73,0,CRICIUMA,CAMPINAS
4204608,5002704,135,98,0,CRICIUMA,CAMPO GRANDE
4204608,4104808,1966,1376,0,CRICIUMA,CASCAVEL
4204608,5103403,121,82,0,CRICIUMA,CUIABA
4204608,4108304,2055,1557,0,CRICIUMA,FOZ DO IGUACU
4204608,1100205,36,24,0,CRICIUMA,PORTO VELHO
4204608,5107602,86,72,0,CRICIUMA,RONDONOPOLIS
5103403,3502804,1760,1818,0,CUIABA,ARACATUBA
5103403,3509502,4284,4077,0,CUIABA,CAMPINAS
5103403,5208707,20689,17790,0,CUIABA,GOIANIA
5103403,3136702,90,106,0,CUIABA,JUIZ DE FORA
5103403,4113700,2459,2415,0,CUIABA,LONDRINA
5103403,4115200,6166,6174,0,CUIABA,MARINGA
5103403,1100205,6550,6139,0,CUIABA,PORTO VELHO
5103403,3541406,20554,20022,0,CUIABA,PRES PRUDENTE
5103403,1200401,2020,2330,0,CUIABA,RIO BRANCO
5103403,3549805,3573,3927,0,CUIABA,SAO JOSE DO RIO PRETO
5103403,3170107,1857,1371,0,CUIABA,UBERABA
5103403,3170206,6083,4518,0,CUIABA,UBERLANDIA
4205407,5002704,1883,1831,0,FLORIANOPOLIS,CAMPO GRANDE
4205407,4104808,4379,3018,0,FLORIANOPOLIS,CASCAVEL
4205407,4204608,4613,5992,0,FLORIANOPOLIS,CRICIUMA
4205407,4108304,5375,4849,0,FLORIANOPOLIS,FOZ DO IGUACU
4205407,3127701,35,8,0,FLORIANOPOLIS,GOV VALADARES
4205407,4314100,1154,911,0,FLORIANOPOLIS,PASSO FUNDO
4205407,4119905,1834,1892,0,FLORIANOPOLIS,PONTA GROSSA
4205407,3168606,19,2,0,FLORIANOPOLIS,TEOFILO OTONI
