lat,long,NOME_ZONAS,POP96,ZONA_TRAFE,DOMIC96,RA
680899.060349568,7466017.11482629,Mangueira,14555,4551208,3791,7
681422.018295332,7466916.07573206,Tuiuti,11491,4551209,3306,7
680858.315448163,7466966.55577613,Benfica 1,6420,4551210,1947,7
680445.23102579,7467434.03131058,Benfica 2,11897,4551211,3375,7
683254.055046584,7465233.18104955,Praca da Bandeira,8578,4551301,3093,8
682714.930351757,7464592.02545474,Afonso Pena,10044,4551302,3580,8
682938.787514208,7464155.16029688,Rua do Bispo,18464,4551303,6388,8
682101.469200443,7463979.96718041,S.F.Xavier,27517,4551304,9590,8
681276.560553645,7463397.06396884,Saens Pena,45695,4551305,16209,8
680404.670297739,7462407.10152758,Muda,43052,4551306,14482,8
678693.724300978,7462018.63121023,Rua Sao Miguel,17865,4551307,5778,8
676043.702381809,7460142.14382614,Alto da Boa Vista,6420,4551308,2065,8
680401.131126136,7460959.59802564,Sumare,560,4551309,174,8
679131.637305819,7458862.36873954,Vista Chinesa,2325,4551310,593,8
682353.666353017,7464992.31939687,Morais e Silva,11973,4551401,4127,9
681312.197111949,7464998.02511857,Maracana,14542,4551402,5034,9
680619.320456729,7464160.68053717,Pereira das Neves,17289,4551403,5913,9
680208.044666146,7464574.17200064,Vila Isabel 1,14730,4551404,5126,9
680174.858603816,7465141.59135483,Vila Isabel 2,16979,4551405,5820,9
679059.842322512,7465035.0613438,Morro dos Macacos,20777,4551406,6068,9
678870.625149695,7464492.24909175,Praca Sete,11643,4551407,3972,9
679657.317209381,7463984.6324399,Andarai 1,17853,4551408,6087,9
678834.149401158,7462919.75105067,Andarai 2,22114,4551409,6948,9
678344.714736143,7463391.21891255,Grajau 1,18940,4551410,5893,9
677122.090426517,7463220.21358188,Grajau 2,18669,4551411,6302,9
680083.679816751,7468595.22621202,Manguinhos 1,14599,4551501,4116,10
679232.958391695,7468684.2646372,Manguinhos 2,13704,4551502,3642,10
678739.894761881,7469917.33298604,Bonsucesso 1,6549,4551503,2291,10
679367.530329633,7470456.03671495,Bonsucesso 2,13114,4551504,4306,10
679216.112037853,7471689.34306226,Ramos 1,16094,4551505,5028,10
678276.27956156,7471155.89456828,Ramos 2,10327,4551506,3245,10
679026.710028923,7472402.9397787,Ramos 3,8455,4551507,2695,10
678353.488126853,7472883.1466902,Olaria 1,19403,4551508,6071,10
677030.326702549,7471957.4423422,Olaria 2,42716,4551509,12633,10
675959.023073004,7472584.81995064,Penha 1,45189,4551601,12768,11
677228.732170073,7473577.8468682,Penha 2,24604,4551602,7940,11
677945.746574513,7474319.75069157,Penha 3,534,4551603,163,11
676905.355991172,7475499.14787325,Penha Circular 1,6104,4551604,1617,11
676300.150388307,7474168.13030454,Penha Circular 2,10052,4551605,3223,11
674889.280373997,7472837.4619658,Penha Circular 3,30994,4551606,9427,11
674840.638259761,7473960.13640504,Bras de Pina 1,25963,4551607,7576,11
675848.922971988,7474752.48436716,Bras de Pina 2,18498,4551608,5391,11
676146.593501907,7476259.38449237,Trevo das Missoes,1402,4551609,505,11
675301.526774426,7475286.13699191,Cordovil 1,24743,4551610,7265,11
674029.935227723,7474763.33129474,Cordovil 2,20688,4551611,6116,11
673640.738967313,7475349.19871897,Parada de Lucas 1,7400,4551612,2322,11
